Name,(In-state)Tuition,System
Yeshiva of Machzikai Hadas,"$8,200 ",Private
Yeshiva of Nitra Rabbinical College,"$8,400 ",Private
Yeshiva of the Telshe Alumni,"$9,300 ",Private
Yeshiva Shaar Hatorah,"$15,000 ",Private
Yeshiva Shaarei Torah of Rockland,"$11,750 ",Private
Yeshiva University,"$39,070 ",Private
Yeshivas Novominsk,"$9,600 ",Private
Yeshivat Mikdash Melech,"$8,100 ",Private
Yeshivath Viznitz,"$9,300 ",Private
Yeshivath Zichron Moshe,"$11,500 ",Private
Baruch college ,"$6,330 ",CUNY
Borough of Manhattan Community College,"$5,170 ",CUNY
Bronx Community College,"$5,206 ",CUNY
Brooklyn College,"$6,330 ",CUNY
College of Staten Island,"$6,330 ",CUNY
CUNY Graduate Center,"$4,530 ",CUNY
CUNY Graduate School of Journalism,"$24,830 ",CUNY
CUNY Graduate School of Public HealthPolicy ,"$5,225 ",CUNY
CUNY Law School,"$14,663 ",CUNY
CUNY School of Professional Studies,"$3,265 ",CUNY
Guttman Community College,"$2,400 ",CUNY
Hostos Community College,"$5,202 ",CUNY
Hunter College,"$6,330 ",CUNY
John Jay College of Criminal Justice,"$6,810 ",CUNY
Kingsborough Community College,"$5,202 ",CUNY
LaGuardia Community College,"$4,566 ",CUNY
Lehman College,"$6,330 ",CUNY
Macaulay Honors College,$0 ,CUNY
Medgar Evers College,"$6,330 ",CUNY
New York City College of Technology,"$6,669 ",CUNY
Queens College,"$6,330 ",CUNY
Queensborough Community College,"$4,540 ",CUNY
City College,"$6,530 ",CUNY
York College,"$19,430 ",CUNY
Binghamton University,"$24,861 ",SUNY
NYS College of Agriculture and Life Sciences,"$26,306 ",SUNY
NYS College of Ceramics,"$15,814 ",SUNY
SUNY College of Environmental Science and Forestry,"$7,770 ",SUNY
NYS College of Human Ecology,"$26,306 ",SUNY
College of Optometry,"$28,390 ",SUNY
NYS College of Veterinary Medicine,"$17,375 ",SUNY
Downstate Medical Center,"$32,779 ",SUNY
School of Industrial and Labor Relations,"$17,621 ",SUNY
Stony Brook University,"$8,855 ",SUNY
SUNY Polytechnic Institute,"$7,890 ",SUNY
University at Albany,"$24,731 ",SUNY
University at Buffalo,"$6,770 ",SUNY
Upstate Medical University,"$33,683 ",SUNY
Buffalo State College,"$3,851 ",SUNY
Empire State College,$278 per credit,SUNY
Purchase College,"$8,267 ",SUNY
State University of New York at Geneseo,"$24,440 ",SUNY
State University of New York at New Paltz,"$6,470 ",SUNY
State University of New York at Oswego,"$23,547 ",SUNY
State University of New York at Potsdam,"$6,670 ",SUNY
SUNY College at Oneonta,"$7,870 ",SUNY
SUNY Cortland,"$8,050 ",SUNY
SUNY Fredonia,"$8,074 ",SUNY
SUNY Plattsburgh,"$7,850 ",SUNY
The College at Brockport,"$7,904 ",SUNY
The College at Old Westbury,"$7,643 ",SUNY
Alfred State College,"$8,057 ",SUNY
SUNY Farmingdale,"$3,235 ",SUNY
Maritime College,"$7,809 ",SUNY
Morrisville State College,"$6,470 ",SUNY
SUNY Canton,"$7,855 ",SUNY
SUNY Cobleskill,"$7,719 ",SUNY
SUNY Delhi,"$7,855 ",SUNY
Adirondack Community College,"$4,423 ",SUNY
Broome Community College,"$4,721 ",SUNY
Cayuga Community College,"$4,742 ",SUNY
Clinton Community College,"$4,670 ",SUNY
Columbia-Greene Community College,"$4,552 ",SUNY
Corning Community College,"$4,774 ",SUNY
Dutchess Community College,"$3,866 ",SUNY
Erie Community College,"$5,189 ",SUNY
Finger Lakes Community College,"$4,704 ",SUNY
Fulton-Montgomery Community College,"$4,440 ",SUNY
Genesee Community College,"$4,410 ",SUNY
Herkimer County Community College,"$4,590 ",SUNY
Hudson Valley Community College,"$5,188 ",SUNY
Jamestown Community College,"$5,360 ",SUNY
Jefferson Community College,"$4,835 ",SUNY
Mohawk Valley Community College,"$4,616 ",SUNY
Monroe Community College,"$4,554 ",SUNY
Nassau Community College,"$4,854 ",SUNY
Niagara County Community College,"$4,370 ",SUNY
North Country Community College,"$4,050 ",SUNY
Onondaga Community College,"$5,014 ",SUNY
Orange County Community College,"$5,128 ",SUNY
Rockland Community College,"$4,654 ",SUNY
Schenectady County Community College,"$4,054 ",SUNY
Suffolk County Community College,"$5,100 ",SUNY
Sullivan County Community College,"$5,500 ",SUNY
Tompkins Cortland Community College,"$5,666 ",SUNY
Ulster County Community College,"$4,942 ",SUNY
Westchester Community College,"$4,723 ",SUNY
